identifier	split	actual_label	predicted_label	confidence
A7SRR3	test	nontox	Sea anemone type 1 potassium channel toxin family	0.9822298288345337
A8E2V9	test	nontox	Phospholipase family	0.9985464215278625
A8Y7P0	test	nontox	Venom Kunitz-type family	0.9959840774536133
B5KL31	test	nontox	Venom Kunitz-type family	0.977959930896759
B5KL37	test	nontox	Venom Kunitz-type family	0.9854710102081299
B5KL41	test	nontox	Venom Kunitz-type family	0.9964471459388733
B5L5M7	test	nontox	Venom Kunitz-type family	0.9919265508651733
C0HJC1	test	nontox	Phospholipase family	0.9961828589439392
C0HK72	test	nontox	Venom Kunitz-type family	0.9960378408432007
C0HM26	test	nontox	Cnidaria small cysteine-rich protein (SCRiP) family	0.9808870553970337
C1IBY0	test	Peptidase S1 family	nontox	0.9600942134857178
C3TS07	test	other	Conotoxin family	0.9329731464385986
C8YJG3	test	CRISP family	nontox	0.9997166991233826
D2Y2Q6	test	nontox	Venom Kunitz-type family	0.9296607375144958
E2E4E4	test	other	nontox	0.8361203074455261
L0GAZ8	test	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9721506237983704
O46201	test	nontox	Limacoditoxin family	0.9413536190986633
P00621	test	nontox	Phospholipase family	0.997355580329895
P07481	test	nontox	Venom Kunitz-type family	0.9494025707244873
P0C7S8	test	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9968581199645996
P0DJ46	test	nontox	Venom Kunitz-type family	0.994600772857666
P0DMF8	test	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9784713387489319
P0DMJ5	test	nontox	Venom Kunitz-type family	0.9948180317878723
P0DMZ2	test	other	Conotoxin family	0.9440029263496399
P0DN46	test	Teretoxin family	Conotoxin family	0.8583027124404907
P0DPT0	test	nontox	other	0.8476094007492065
P0DPU1	test	CRISP family	nontox	0.9869258403778076
P0DPW0	test	other	Scoloptoxin family	0.9157766103744507
P0DQT6	test	nontox	Venom metalloproteinase (M12B) family	0.9995762705802917
P0DQY8	test	other	Conotoxin family	0.9773688316345215
P0DRI1	test	nontox	Insulin family	0.9949964284896851
P0DRI9	test	other	Neurotoxin family	0.9557293057441711
P0DRJ4	test	nontox	Cationic peptide family	0.9927263259887695
P0DRK6	test	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9999735355377197
P0DSJ5	test	nontox	Formicidae venom family	0.9895116686820984
P0DSM5	test	Non-disulfide-bridged peptide (NDBP) superfamily	Cationic peptide family	0.9985381364822388
P0DUT6	test	Limacoditoxin family	nontox	0.9824405312538147
P0DV61	test	nontox	other	0.9285582304000854
P0DV62	test	nontox	Neurotoxin family	0.9996628761291504
P0DXW9	test	other	nontox	0.8548659682273865
P0DY17	test	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9821414947509766
P10831	test	nontox	Venom Kunitz-type family	0.9722228646278381
P14615	test	nontox	Phospholipase family	0.9958478212356567
P16044	test	nontox	Venom Kunitz-type family	0.990473210811615
P16339	test	nontox	Vasopressin/oxytocin family	0.9485827088356018
P20249	test	nontox	Phospholipase family	0.9958192110061646
P24293	test	nontox	Phospholipase family	0.9950518012046814
P34966	test	nontox	Cationic peptide family	0.8096161484718323
P47711	test	nontox	Phospholipase family	0.8263178467750549
P48650	test	nontox	Phospholipase family	0.997647225856781
P80163	test	other	nontox	0.8012869358062744
P81438	test	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9727284908294678
P81464	test	nontox	Natriuretic, Bradykinin potentiating peptide family	0.9279011487960815
P83658	test	Disintegrin family	Venom metalloproteinase (M12B) family	0.8321337699890137
P83663	test	nontox	other	0.9130219221115112
P84015	test	nontox	Neurotoxin family	0.8560287952423096
P84117	test	nontox	Conotoxin family	0.9287137389183044
P86286	test	nontox	Bradykinin-related peptide family	0.8030811548233032
P86821	test	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9912987351417542
Q06B75	test	nontox	other	0.9697014689445496
Q172F2	test	nontox	PBP/GOBP family	0.9732444286346436
Q1L659	test	nontox	Peptidase S1 family	0.9843548536300659
Q3YEH1	test	Conotoxin family	nontox	0.893028974533081
Q5DFZ7	test	nontox	other	0.9978269934654236
Q5GQ85	test	nontox	Calycin superfamily	0.9972720742225647
Q5MIW3	test	other	nontox	0.9965779185295105
Q66S03	test	other	nontox	0.8894311785697937
Q66S08	test	other	nontox	0.9869598746299744
Q6T6S5	test	nontox	Venom Kunitz-type family	0.9791710376739502
Q75WF2	test	other	nontox	0.9308556914329529
Q75WG7	test	nontox	Neurotoxin family	0.9927253723144531
Q86MA1	test	nontox	Cationic peptide family	0.9678098559379578
Q8WQK0	test	nontox	other	0.9129565358161926
Q8WQZ3	test	nontox	Long (3 C-C) scorpion toxin superfamily	0.9763565063476562
Q95P88	test	nontox	Short scorpion toxin superfamily	0.974733829498291
Q9I845	test	nontox	Phospholipase family	0.9914212822914124
U3KRG1	test	nontox	Venom metalloproteinase (M12B) family	0.9982168078422546
Q94424	train	nontox	Long (4 C-C) scorpion toxin superfamily	0.802333652973175
C1JAR9	train	nontox	Phospholipase family	0.808506965637207
P81437	train	nontox	Natriuretic, Bradykinin potentiating peptide family	0.8189190030097961
A0A059UEE4	train	nontox	Short scorpion toxin superfamily	0.8138516545295715
Q6YBR5	train	nontox	other	0.8184742331504822
D3TS87	train	nontox	other	0.8122150897979736
X5IFZ1	train	nontox	Conotoxin family	0.8168456554412842
P80090	train	nontox	Insulin family	0.8097831606864929
P0DSM0	train	nontox	other	0.8068444728851318
P0DME8	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.8314195275306702
Q9XWV2	train	nontox	Phospholipase family	0.8357077836990356
P80424	train	nontox	other	0.8248748779296875
Q8MPZ7	train	nontox	other	0.8367010951042175
P0CH87	train	nontox	other	0.8278435468673706
P19399	train	nontox	other	0.8330270051956177
P0C6A5	train	Venom metalloproteinase (M12B) family	Disintegrin family	0.8297383189201355
P84756	train	other	Neurotoxin family	0.8236293196678162
A0A8K1YTT4	train	nontox	Neurotoxin family	0.8278936743736267
L0GB04	train	nontox	other	0.8439117074012756
P31482	train	nontox	Phospholipase family	0.8521173596382141
Q7YTY6	train	nontox	other	0.8469146490097046
A0A0K8RJV9	train	nontox	other	0.8458441495895386
P28504	train	nontox	other	0.844562292098999
Q6J201	train	nontox	other	0.8573627471923828
P0DRB9	train	nontox	Neurotoxin family	0.8413593173027039
A8I0L8	train	nontox	Neurotoxin family	0.8544464111328125
P04096	train	nontox	Natriuretic, Bradykinin potentiating peptide family	0.8535499572753906
O96059	train	nontox	Cationic peptide family	0.8635970950126648
P0CF01	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.8609923720359802
C0HK44	train	nontox	MCD family	0.8624807596206665
P80027	train	nontox	Vasopressin/oxytocin family	0.8698237538337708
Q8AYR5	train	nontox	Natriuretic, Bradykinin potentiating peptide family	0.8674322962760925
P0DSJ9	train	nontox	Formicidae venom family	0.8765643835067749
P0DMF3	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.8617393970489502
P25033	train	nontox	other	0.8753988742828369
A0A0M3KKW3	train	nontox	other	0.8703800439834595
P56686	train	nontox	other	0.8908275961875916
Q7M4I6	train	nontox	Phospholipase family	0.8988682627677917
A7X3V7	train	nontox	Venom Kunitz-type family	0.899748682975769
Q9GQW4	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.8830857276916504
C0HL58	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.8971776962280273
A7X401	train	nontox	Snaclec family	0.8932685256004333
O46202	train	nontox	other	0.883779764175415
A6P331	train	nontox	Formicidae venom family	0.8951060175895691
P0DRH9	train	nontox	Insulin family	0.8870883584022522
C0HL84	train	nontox	MCD family	0.9061605334281921
C0HJF6	train	nontox	other	0.9022501707077026
P14754	train	nontox	other	0.9052744507789612
P14423	train	nontox	Phospholipase family	0.9154626131057739
P17726	train	nontox	Venom Kunitz-type family	0.9170485138893127
B2ZBB8	train	nontox	Venom Kunitz-type family	0.915696918964386
P35003	train	nontox	Peptidase S1 family	0.9198435544967651
P84955	train	nontox	Bradykinin-related peptide family	0.9304087162017822
P42998	train	nontox	Vasopressin/oxytocin family	0.9373778104782104
P0DJ03	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9361433982849121
P82417	train	nontox	other	0.9298973679542542
Q0MWV8	train	nontox	Sea anemone type 1 potassium channel toxin family	0.9283067584037781
Q00630	train	nontox	Calycin superfamily	0.9230349659919739
P35042	train	nontox	Peptidase S1 family	0.9297907948493958
C0HK45	train	nontox	other	0.9356371164321899
P11424	train	nontox	Venom Kunitz-type family	0.9276137948036194
P0DX33	train	nontox	MCD family	0.9527595639228821
R4JNJ5	train	nontox	Non-disulfide-bridged peptide (NDBP) superfamily	0.9429072141647339
P56685	train	nontox	Short scorpion toxin superfamily	0.9416898488998413
O18496	train	nontox	Cationic peptide family	0.9540992975234985
Q5BQX9	train	nontox	Neurotoxin family	0.948774516582489
A0A0E3SVB8	train	nontox	Conotoxin family	0.9447624087333679
P0DSI7	train	nontox	other	0.9420430660247803
Q75WH5	train	nontox	Neurotoxin family	0.9538509845733643
P16895	train	nontox	other	0.9428145885467529
Q8T0W4	train	nontox	Venom Kunitz-type family	0.9680020213127136
P0DQZ7	train	nontox	Formicidae venom family	0.9690293669700623
P0DQZ9	train	nontox	MCD family	0.9663730263710022
Q7PN86	train	nontox	PBP/GOBP family	0.9690492749214172
A7ST80	train	nontox	Sea anemone type 1 potassium channel toxin family	0.968041718006134
P81902	train	nontox	Venom Kunitz-type family	0.9645883440971375
P0C1Q4	train	nontox	MCD family	0.9661363959312439
I7GQA7	train	nontox	Phospholipase family	0.9729005098342896
A0A348G5W1	train	nontox	Formicidae venom family	0.9750432372093201
Q7YWB0	train	nontox	other	0.9943422079086304
Q5Y4U5	train	nontox	Neurotoxin family	0.9927264451980591
Q8UUI2	train	nontox	Phospholipase family	0.9950956106185913
Q9W716	train	nontox	Three-finger toxin family	0.9999353885650635
P81547	train	nontox	Venom Kunitz-type family	0.9892772436141968
Q07932	train	nontox	Formicidae venom family	0.9902286529541016
Q75S48	train	nontox	Phospholipase family	0.9942548871040344
P00994	train	nontox	Venom Kunitz-type family	0.9853909015655518
A9CM07	train	nontox	Formicidae venom family	0.9961082339286804
